Image Name,MOS,AesA3_Score,AesA2_Score,AesA1_Score
ss03 (5713).jpg,0.6341,6.7069,3.5364,Medium
ss01 (1187).jpg,0.4189,4.7701,2.6756,Medium
ss03 (925).jpg,0.3991,4.5919,2.5964,Medium
ss02 (910).jpg,0.4323,4.8907,2.7292,Medium
ss01 (1470).jpg,0.4338,4.9042,2.7352,Medium
ss01 (112).jpg,0.6407,6.7663,3.5628,Medium
ss01 (1017).jpg,0.4412,4.9708,2.7648,Medium
ss03 (2459).jpg,0.8217,8.3953,4.2868,High
ss03 (4350).jpg,0.8515,8.6635,4.406,High
ss03 (7124).jpg,0.8717,8.8453,4.4868,High
ss03 (4675).jpg,0.8027,8.2243,4.2108,High
ss03 (51).jpg,0.7927,8.1343,4.1708,High
ss03 (5093).jpg,0.8386,8.5474,4.3544,High
ss03 (1104).jpg,0.7767,7.9903,4.1068,High
ss03 (4818).jpg,0.8076,8.2684,4.2304,High
ss03 (5367).jpg,0.8214,8.3926,4.2856,High
ss01 (1397).jpg,0.6792,7.1128,3.7168,High
ss03 (4609).jpg,0.8164,8.3476,4.2656,High
ss03 (3275).jpg,0.6842,7.1578,3.7368,High
ss03 (7417).jpg,0.7594,7.8346,4.0376,High
ss03 (1387).jpg,0.71,7.39,3.84,High
ss03 (7128).jpg,0.8498,8.6482,4.3992,High
ss03 (1090).jpg,0.8903,9.0127,4.5612,High
ss03 (2663).jpg,0.7172,7.4548,3.8688,High
ss03 (4255).jpg,0.7874,8.0866,4.1496,High
ss03 (6992).jpg,0.7881,8.0929,4.1524,High
ss03 (7674).jpg,0.749,7.741,3.996,High
ss03 (4791).jpg,0.8096,8.2864,4.2384,High
ss03 (2564).jpg,0.7733,7.9597,4.0932,High
ss03 (4045).jpg,0.8569,8.7121,4.4276,High
ss03 (7790).jpg,0.8226,8.4034,4.2904,High
ss03 (695).jpg,0.758,7.822,4.032,High
ss03 (4630).jpg,0.7502,7.7518,4.0008,High
ss03 (2955).jpg,0.7538,7.7842,4.0152,High
ss03 (5177).jpg,0.8024,8.2216,4.2096,High
ss03 (4538).jpg,0.8802,8.9218,4.5208,High
ss03 (6448).jpg,0.7376,7.6384,3.9504,High
ss03 (742).jpg,0.7522,7.7698,4.0088,High
ss03 (4442).jpg,0.8397,8.5573,4.3588,High
ss03 (3640).jpg,0.7768,7.9912,4.1072,High
